time,levle,msg
2015-10-19 13:48:55,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:48:57,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:48:58,[Warning],"Too many connections"
2015-10-19 13:48:58,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:02,[Warning],"Too many connections"
2015-10-19 13:49:02,[Warning],"Too many connections"
2015-10-19 13:49:02,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:03,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:06,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:09,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:10,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:11,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:13,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:20,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:23,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:27,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:27,[Warning],"Too many connections"
2015-10-19 13:49:27,[Warning],"Too many connections"
2015-10-19 13:49:28,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:29,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:31,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:31,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:32,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:33,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:36,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:37,[Warning],"Too many connections"
2015-10-19 13:49:40,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:42,[Warning],"Too many connections"
2015-10-19 13:49:42,[Warning],"Too many connections"
2015-10-19 13:49:42,[Warning],"Too many connections"
2015-10-19 13:49:45,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:46,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:47,[Warning],"Too many connections"
2015-10-19 13:49:47,[Warning],"Too many connections"
2015-10-19 13:49:51,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:52,[Warning],"Too many connections"
2015-10-19 13:49:52,[Warning],"Too many connections"
2015-10-19 13:49:52,[Warning],"Too many connections"
2015-10-19 13:49:54,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:57,[Warning],"Too many connections"
2015-10-19 13:49:57,[Warning],"Too many connections"
2015-10-19 13:49:58,[Warning],"Too many connections"
2015-10-19 13:49:58,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:49:59,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:00,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:01,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:02,[Warning],"Too many connections"
2015-10-19 13:50:07,[Warning],"Too many connections"
2015-10-19 13:50:07,[Warning],"Too many connections"
2015-10-19 13:50:07,[Warning],"Too many connections"
2015-10-19 13:50:07,[Warning],"Too many connections"
2015-10-19 13:50:08,[Warning],"Too many connections"
2015-10-19 13:50:09,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:11,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:12,[Warning],"Too many connections"
2015-10-19 13:50:12,[Warning],"Too many connections"
2015-10-19 13:50:12,[Warning],"Too many connections"
2015-10-19 13:50:15,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:15,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:16,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:17,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:50:18,[Warning],"Too many connections"
2015-10-19 13:50:22,[Warning],"Too many connections"
2015-10-19 13:50:22,[Warning],"Too many connections"
2015-10-19 13:50:22,[Warning],"Too many connections"
2015-10-19 13:50:22,[Warning],"Too many connections"
2015-10-19 13:50:22,[Warning],"Too many connections"
2015-10-19 13:50:27,[Warning],"Too many connections"
2015-10-19 13:50:28,[Warning],"Too many connections"
2015-10-19 13:50:28,[Warning],"Too many connections"
2015-10-19 13:50:28,[Warning],"Too many connections"
2015-10-19 13:50:28,[Warning],"Too many connections"
2015-10-19 13:50:32,[Warning],"Too many connections"
2015-10-19 13:50:33,[Warning],"Too many connections"
2015-10-19 13:50:33,[Warning],"Too many connections"
2015-10-19 13:50:33,[Warning],"Too many connections"
2015-10-19 13:50:33,[Warning],"Too many connections"
2015-10-19 13:50:37,[Warning],"Too many connections"
2015-10-19 13:50:38,[Warning],"Too many connections"
2015-10-19 13:50:38,[Warning],"Too many connections"
2015-10-19 13:50:38,[Warning],"Too many connections"
2015-10-19 13:50:38,[Warning],"Too many connections"
2015-10-19 13:50:42,[Warning],"Too many connections"
2015-10-19 13:50:42,[Warning],"Too many connections"
2015-10-19 13:50:42,[Warning],"Too many connections"
2015-10-19 13:50:42,[Warning],"Too many connections"
2015-10-19 13:50:43,[Warning],"Too many connections"
2015-10-19 13:50:47,[Warning],"Too many connections"
2015-10-19 13:50:47,[Warning],"Too many connections"
2015-10-19 13:50:47,[Warning],"Too many connections"
2015-10-19 13:50:47,[Warning],"Too many connections"
2015-10-19 13:50:47,[Warning],"Too many connections"
2015-10-19 13:50:53,[Warning],"Too many connections"
2015-10-19 13:50:53,[Warning],"Too many connections"
2015-10-19 13:50:53,[Warning],"Too many connections"
2015-10-19 13:50:53,[Warning],"Too many connections"
2015-10-19 13:50:53,[Warning],"Too many connections"
2015-10-19 13:50:58,[Warning],"Too many connections"
2015-10-19 13:50:58,[Warning],"Too many connections"
2015-10-19 13:50:58,[Warning],"Too many connections"
2015-10-19 13:50:58,[Warning],"Too many connections"
2015-10-19 13:50:58,[Warning],"Too many connections"
2015-10-19 13:51:03,[Warning],"Too many connections"
2015-10-19 13:51:03,[Warning],"Too many connections"
2015-10-19 13:51:03,[Warning],"Too many connections"
2015-10-19 13:51:03,[Warning],"Too many connections"
2015-10-19 13:51:03,[Warning],"Too many connections"
2015-10-19 13:51:08,[Warning],"Too many connections"
2015-10-19 13:51:08,[Warning],"Too many connections"
2015-10-19 13:51:13,[Warning],"Too many connections"
2015-10-19 13:51:13,[Warning],"Too many connections"
2015-10-19 13:51:13,[Warning],"Too many connections"
2015-10-19 13:51:23,[Warning],"Too many connections"
2015-10-19 13:51:23,[Warning],"Too many connections"
2015-10-19 13:51:28,[Warning],"Too many connections"
2015-10-19 13:51:28,[Warning],"Too many connections"
2015-10-19 13:51:28,[Warning],"Too many connections"
2015-10-19 13:51:33,[Warning],"Too many connections"
2015-10-19 13:51:33,[Warning],"Too many connections"
2015-10-19 13:51:33,[Warning],"Too many connections"
2015-10-19 13:51:33,[Warning],"Too many connections"
2015-10-19 13:51:33,[Warning],"Too many connections"
2015-10-19 13:51:38,[Warning],"Too many connections"
2015-10-19 13:51:38,[Warning],"Too many connections"
2015-10-19 13:51:38,[Warning],"Too many connections"
2015-10-19 13:51:38,[Warning],"Too many connections"
2015-10-19 13:51:43,[Warning],"Too many connections"
2015-10-19 13:51:43,[Warning],"Too many connections"
2015-10-19 13:51:48,[Warning],"Too many connections"
2015-10-19 13:51:48,[Warning],"Too many connections"
2015-10-19 13:51:48,[Warning],"Too many connections"
2015-10-19 13:51:48,[Warning],"Too many connections"
2015-10-19 13:51:53,[Warning],"Too many connections"
2015-10-19 13:51:53,[Warning],"Too many connections"
2015-10-19 13:51:53,[Warning],"Too many connections"
2015-10-19 13:51:53,[Warning],"Too many connections"
2015-10-19 13:51:53,[Warning],"Too many connections"
2015-10-19 13:51:58,[Warning],"Too many connections"
2015-10-19 13:51:58,[Warning],"Too many connections"
2015-10-19 13:52:03,[Warning],"Too many connections"
2015-10-19 13:52:03,[Warning],"Too many connections"
2015-10-19 13:52:03,[Warning],"Too many connections"
2015-10-19 13:52:08,[Warning],"Too many connections"
2015-10-19 13:52:08,[Warning],"Too many connections"
2015-10-19 13:52:08,[Warning],"Too many connections"
2015-10-19 13:52:18,[Warning],"Too many connections"
2015-10-19 13:52:23,[Warning],"Too many connections"
2015-10-19 13:52:23,[Warning],"Too many connections"
2015-10-19 13:52:23,[Warning],"Too many connections"
2015-10-19 13:52:23,[Warning],"Too many connections"
2015-10-19 13:52:23,[Warning],"Too many connections"
2015-10-19 13:52:28,[Warning],"Too many connections"
2015-10-19 13:52:28,[Warning],"Too many connections"
2015-10-19 13:52:28,[Warning],"Too many connections"
2015-10-19 13:52:33,[Warning],"Too many connections"
2015-10-19 13:52:33,[Warning],"Too many connections"
2015-10-19 13:52:33,[Warning],"Too many connections"
2015-10-19 13:52:33,[Warning],"Too many connections"
2015-10-19 13:52:33,[Warning],"Too many connections"
2015-10-19 13:52:43,[Warning],"Too many connections"
2015-10-19 13:52:43,[Warning],"Too many connections"
2015-10-19 13:52:43,[Warning],"Too many connections"
2015-10-19 13:52:48,[Warning],"Too many connections"
2015-10-19 13:52:48,[Warning],"Too many connections"
2015-10-19 13:52:48,[Warning],"Too many connections"
2015-10-19 13:52:48,[Warning],"Too many connections"
2015-10-19 13:52:53,[Warning],"Too many connections"
2015-10-19 13:52:53,[Warning],"Too many connections"
2015-10-19 13:52:53,[Warning],"Too many connections"
2015-10-19 13:52:53,[Warning],"Too many connections"
2015-10-19 13:52:58,[Warning],"Too many connections"
2015-10-19 13:52:58,[Warning],"Too many connections"
2015-10-19 13:52:58,[Warning],"Too many connections"
2015-10-19 13:53:03,[Warning],"Too many connections"
2015-10-19 13:53:08,[Warning],"Too many connections"
2015-10-19 13:53:08,[Warning],"Too many connections"
2015-10-19 13:53:08,[Warning],"Too many connections"
2015-10-19 13:53:08,[Warning],"Too many connections"
2015-10-19 13:53:13,[Warning],"Too many connections"
2015-10-19 13:53:13,[Warning],"Too many connections"
2015-10-19 13:53:13,[Warning],"Too many connections"
2015-10-19 13:53:18,[Warning],"Too many connections"
2015-10-19 13:53:18,[Warning],"Too many connections"
2015-10-19 13:53:18,[Warning],"Too many connections"
2015-10-19 13:53:18,[Warning],"Too many connections"
2015-10-19 13:53:23,[Warning],"Too many connections"
2015-10-19 13:53:23,[Warning],"Too many connections"
2015-10-19 13:53:23,[Warning],"Too many connections"
2015-10-19 13:53:28,[Warning],"Too many connections"
2015-10-19 13:53:28,[Warning],"Too many connections"
2015-10-19 13:53:28,[Warning],"Too many connections"
2015-10-19 13:53:28,[Warning],"Too many connections"
2015-10-19 13:53:28,[Warning],"Too many connections"
2015-10-19 13:53:33,[Warning],"Too many connections"
2015-10-19 13:53:33,[Warning],"Too many connections"
2015-10-19 13:53:33,[Warning],"Too many connections"
2015-10-19 13:53:33,[Warning],"Too many connections"
2015-10-19 13:53:38,[Warning],"Too many connections"
2015-10-19 13:53:38,[Warning],"Too many connections"
2015-10-19 13:53:38,[Warning],"Too many connections"
2015-10-19 13:53:38,[Warning],"Too many connections"
2015-10-19 13:53:38,[Warning],"Too many connections"
2015-10-19 13:53:43,[Warning],"Too many connections"
2015-10-19 13:53:43,[Warning],"Too many connections"
2015-10-19 13:53:43,[Warning],"Too many connections"
2015-10-19 13:53:43,[Warning],"Too many connections"
2015-10-19 13:53:43,[Warning],"Too many connections"
2015-10-19 13:53:48,[Warning],"Too many connections"
2015-10-19 13:53:53,[Warning],"Too many connections"
2015-10-19 13:53:54,[Warning],"Too many connections"
2015-10-19 13:53:54,[Warning],"Too many connections"
2015-10-19 13:53:54,[Warning],"Too many connections"
2015-10-19 13:53:59,[Warning],"Too many connections"
2015-10-19 13:53:59,[Warning],"Too many connections"
2015-10-19 13:53:59,[Warning],"Too many connections"
2015-10-19 13:53:59,[Warning],"Too many connections"
2015-10-19 13:54:04,[Warning],"Too many connections"
2015-10-19 13:54:09,[Warning],"Too many connections"
2015-10-19 13:54:09,[Warning],"Too many connections"
2015-10-19 13:54:09,[Warning],"Too many connections"
2015-10-19 13:54:09,[Warning],"Too many connections"
2015-10-19 13:54:09,[Warning],"Too many connections"
2015-10-19 13:54:14,[Warning],"Too many connections"
2015-10-19 13:54:14,[Warning],"Too many connections"
2015-10-19 13:54:14,[Warning],"Too many connections"
2015-10-19 13:54:14,[Warning],"Too many connections"
2015-10-19 13:54:14,[Warning],"Too many connections"
2015-10-19 13:54:19,[Warning],"Too many connections"
2015-10-19 13:54:19,[Warning],"Too many connections"
2015-10-19 13:54:19,[Warning],"Too many connections"
2015-10-19 13:54:24,[Warning],"Too many connections"
2015-10-19 13:54:24,[Warning],"Too many connections"
2015-10-19 13:54:24,[Warning],"Too many connections"
2015-10-19 13:54:24,[Warning],"Too many connections"
2015-10-19 13:54:29,[Warning],"Too many connections"
2015-10-19 13:54:29,[Warning],"Too many connections"
2015-10-19 13:54:29,[Warning],"Too many connections"
2015-10-19 13:54:29,[Warning],"Too many connections"
